hsa	gge
hsa0000000015	gge0000176513
hsa0000000109	gge0000175060
hsa0000000192	gge0000176579
hsa0000000236	gge0000177513
hsa0000000363	gge0000182276
hsa0000000364	gge0000182277
hsa0000000369	gge0000182281
hsa0000000390	gge0000176501
hsa0000000409	gge0000177412
hsa0000000477	gge0000181990
hsa0000000493	gge0000182010
hsa0000000499	gge0000182016
hsa0000000511	gge0000181408
hsa0000000536	gge0000177918
hsa0000000541	gge0000177922
hsa0000000559	gge0000180940
hsa0000000563	gge0000182166
hsa0000000568	gge0000182171
hsa0000000572	gge0000182175
hsa0000000574	gge0000182177
hsa0000000576	gge0000182179
hsa0000000593	gge0000176056
hsa0000000594	gge0000176057
hsa0000000595	gge0000176058
hsa0000000676	gge0000180994
hsa0000000692	gge0000181009
hsa0000000809	gge0000182579
hsa0000000813	gge0000182583
hsa0000000888	gge0000120643
hsa0000000977	gge0000120608
hsa0000001012	gge0000120257
hsa0000001063	gge0000118851
hsa0000001125	gge0000119393
hsa0000001198	gge0000120117
hsa0000001213	gge0000120134
hsa0000001247	gge0000118146
hsa0000001258	gge0000119972
hsa0000001279	gge0000117673
hsa0000001282	gge0000117675
hsa0000001297	gge0000117006
hsa0000001364	gge0000118562
hsa0000001381	gge0000118129
hsa0000001424	gge0000119439
hsa0000001428	gge0000119442
hsa0000001436	gge0000119447
hsa0000001442	gge0000119452
hsa0000001471	gge0000120628
hsa0000001584	gge0000118517
hsa0000001655	gge0000118096
hsa0000001693	gge0000181460
hsa0000001713	gge0000117988
hsa0000001722	gge0000120211
hsa0000001751	gge0000115536
hsa0000001755	gge0000115541
hsa0000001875	gge0000025739
hsa0000001940	gge0000119721
hsa0000001975	gge0000187545
hsa0000001976	gge0000187546
hsa0000001978	gge0000187548
hsa0000001998	gge0000118881
hsa0000002035	gge0000118272
hsa0000002303	gge0000011568
hsa0000002423	gge0000012575
hsa0000002428	gge0000012580
hsa0000002429	gge0000012580
hsa0000002429	gge0000012581
hsa0000002431	gge0000012583
hsa0000002435	gge0000012587
hsa0000002435	gge0000012586
hsa0000002436	gge0000012588
hsa0000002437	gge0000012589
hsa0000002438	gge0000012590
hsa0000002439	gge0000012591
hsa0000002442	gge0000012594
hsa0000002443	gge0000012595
hsa0000002444	gge0000012596
hsa0000002456	gge0000114754
hsa0000002607	gge0000115757
hsa0000002612	gge0000115766
hsa0000002612	gge0000115765
hsa0000002612	gge0000115764
hsa0000002635	gge0000115331
hsa0000002713	gge0000012442
hsa0000002778	gge0000114564
hsa0000002782	gge0000114567
hsa0000002784	gge0000114569
hsa0000002785	gge0000114570
hsa0000002895	gge0000051150
hsa0000002998	gge0000114573
hsa0000003000	gge0000114574
hsa0000003000	gge0000114573
hsa0000003001	gge0000114573
hsa0000003001	gge0000114574
hsa0000003004	gge0000114576
hsa0000003005	gge0000114578
hsa0000003006	gge0000114579
hsa0000003007	gge0000114580
hsa0000003033	gge0000012613
hsa0000003101	gge0000116348
hsa0000003149	gge0000114667
hsa0000003160	gge0000114673
hsa0000003168	gge0000114679
hsa0000003176	gge0000114687
hsa0000003204	gge0000060646
hsa0000003211	gge0000060653
hsa0000003326	gge0000052156
hsa0000003327	gge0000052157
hsa0000003330	gge0000052158
hsa0000003338	gge0000114722
hsa0000003367	gge0000060685
hsa0000003372	gge0000060690
hsa0000003460	gge0000189022
hsa0000003506	gge0000176025
hsa0000003515	gge0000176034
hsa0000003564	gge0000114695
hsa0000003575	gge0000115821
hsa0000003604	gge0000060331
hsa0000003606	gge0000060333
hsa0000003609	gge0000060335
hsa0000003670	gge0000056615
hsa0000003679	gge0000056625
hsa0000003696	gge0000056642
hsa0000003699	gge0000056645
hsa0000003714	gge0000056660
hsa0000003719	gge0000056665
hsa0000003754	gge0000052664
hsa0000003855	gge0000052272
hsa0000003857	gge0000052274
hsa0000003877	gge0000053916
hsa0000003886	gge0000053925
hsa0000003893	gge0000053930
hsa0000003904	gge0000053937
hsa0000004133	gge0000117123
hsa0000004135	gge0000117126
hsa0000004163	gge0000115919
hsa0000004181	gge0000119244
hsa0000004182	gge0000119245
hsa0000004184	gge0000119247
hsa0000004185	gge0000119248
hsa0000004191	gge0000119254
hsa0000004206	gge0000182159
hsa0000004311	gge0000026875
hsa0000004327	gge0000026894
hsa0000004328	gge0000026896
hsa0000004344	gge0000114630
hsa0000004489	gge0000175019
hsa0000004593	gge0000121220
hsa0000004627	gge0000115567
hsa0000004630	gge0000115572
hsa0000004630	gge0000115571
hsa0000004727	gge0000199485
hsa0000004733	gge0000199490
hsa0000004753	gge0000199840
hsa0000004888	gge0000013279
hsa0000004892	gge0000013283
hsa0000004904	gge0000118291
hsa0000004905	gge0000118291
hsa0000004908	gge0000118292
hsa0000004914	gge0000118295
hsa0000004917	gge0000118296
hsa0000004917	gge0000118297
hsa0000004930	gge0000054321
hsa0000004998	gge0000119151
hsa0000005004	gge0000119156
hsa0000005010	gge0000119163
hsa0000005011	gge0000119163
hsa0000005012	gge0000119165
hsa0000005012	gge0000119164
hsa0000005013	gge0000119165
hsa0000005013	gge0000119164
hsa0000005014	gge0000119165
hsa0000005015	gge0000119164
hsa0000005095	gge0000117605
hsa0000005201	gge0000121488
hsa0000005224	gge0000119073
hsa0000005317	gge0000182918
hsa0000005352	gge0000182985
hsa0000005455	gge0000011568
hsa0000005711	gge0000118389
hsa0000005718	gge0000175136
hsa0000005777	gge0000180711
hsa0000005783	gge0000180718
hsa0000005783	gge0000180717
hsa0000005788	gge0000180485
hsa0000005925	gge0000116662
hsa0000005990	gge0000057107
hsa0000005991	gge0000057108
hsa0000006322	gge0000115431
hsa0000006327	gge0000115434
hsa0000006340	gge0000189909
hsa0000006397	gge0000060221
hsa0000006400	gge0000060222
hsa0000006401	gge0000060223
hsa0000006436	gge0000187450
hsa0000006620	gge0000182216
hsa0000006621	gge0000182220
hsa0000006669	gge0000176272
hsa0000006678	gge0000176282
hsa0000006818	gge0000117399
hsa0000006821	gge0000117402
hsa0000006825	gge0000117406
hsa0000006826	gge0000117407
hsa0000006866	gge0000119211
hsa0000006902	gge0000117938
hsa0000007027	gge0000117766
hsa0000007119	gge0000182621
hsa0000007126	gge0000182628
hsa0000007161	gge0000058042
hsa0000007163	gge0000058044
hsa0000007213	gge0000183133
hsa0000007220	gge0000182068
hsa0000007221	gge0000182069
hsa0000007258	gge0000183159
hsa0000007377	gge0000175561
hsa0000007380	gge0000175564
hsa0000007475	gge0000182859
hsa0000007478	gge0000182862
hsa0000007522	gge0000181533
hsa0000007523	gge0000181533
hsa0000007523	gge0000181534
hsa0000007558	gge0000058190
hsa0000007558	gge0000056442
hsa0000007564	gge0000058195
hsa0000007564	gge0000056447
hsa0000007573	gge0000058205
hsa0000007573	gge0000056456
hsa0000007692	gge0000199802
hsa0000007692	gge0000199720
hsa0000007717	gge0000058691
hsa0000007816	gge0000201088
hsa0000007818	gge0000201090
hsa0000007947	gge0000121288
hsa0000007972	gge0000118750
hsa0000007973	gge0000118750
hsa0000008004	gge0000115938
hsa0000008026	gge0000182989
hsa0000008083	gge0000121434
hsa0000008084	gge0000121434
hsa0000008088	gge0000121437
hsa0000008092	gge0000121440
hsa0000008112	gge0000117929
hsa0000008180	gge0000175103
hsa0000008190	gge0000176794
hsa0000008223	gge0000120887
hsa0000008270	gge0000115885
hsa0000008274	gge0000115889
hsa0000008278	gge0000115891
hsa0000008302	gge0000175680
hsa0000008302	gge0000175679
hsa0000008305	gge0000175682
hsa0000008307	gge0000175684
hsa0000008324	gge0000058020
hsa0000008343	gge0000058035
hsa0000008402	gge0000182382
hsa0000008405	gge0000182385
hsa0000008773	gge0000114600
hsa0000008865	gge0000190050
hsa0000008870	gge0000190054
hsa0000008878	gge0000190058
hsa0000008926	gge0000052735
hsa0000008928	gge0000052736
hsa0000008930	gge0000052738
hsa0000008931	gge0000052740
hsa0000008932	gge0000052741
hsa0000009144	gge0000119527
hsa0000009220	gge0000120265
hsa0000009322	gge0000117805
hsa0000009322	gge0000117804
hsa0000009324	gge0000117808
hsa0000009330	gge0000117813
hsa0000009331	gge0000117814
hsa0000009335	gge0000117818
