mouse_exon1	mouse_exon2	human_exon1	human_exon2	p_value	median_survival_present	median_survival_absent	n_present	n_absent	prognostic_type	avg_identity	logrank_statistic
chr15:92143609:92143708:1	chr6:22973011:22973161:1	ENSE00000736011	ENSE00000919400	0.5958787605815007	27.0	26.0	4	13	Favorable	0.87	0.28125662519090966
chr15:92143609:92143708:1	chr6:22972711:22972868:1	ENSE00000736011	ENSE00000919399	0.5958787605815007	27.0	26.0	4	13	Favorable	0.88	0.28125662519090966
chr15:92143842:92144023:1	chr6:22973011:22973161:1	ENSE00000736014	ENSE00000919400	0.5958787605815007	27.0	26.0	4	13	Favorable	0.88	0.28125662519090966
chr15:92143842:92144023:1	chr6:22972711:22972868:1	ENSE00000736014	ENSE00000919399	0.5958787605815007	27.0	26.0	4	13	Favorable	0.89	0.28125662519090966
chr15:92143842:92144023:1	chr6:22965726:22965792:1	ENSE00000736014	ENSE00001288392	0.5958787605815007	27.0	26.0	4	13	Favorable	0.86	0.28125662519090966
chr15:92140772:92140978:1	chr6:22973011:22973161:1	ENSE00000736006	ENSE00000919400	0.5958787605815007	27.0	26.0	4	13	Favorable	0.89	0.28125662519090966
chr15:101618188:101618313:-1	chr11:100094934:100095154:-1	ENSE00003590565	ENSE00003673283	0.04249766014712065	25.0	31.0	11	6	Unfavorable	0.925	4.115273221754828
chr15:101618188:101618313:-1	chr11:100095250:100095375:-1	ENSE00003590565	ENSE00003623532	0.04249766014712065	25.0	31.0	11	6	Unfavorable	0.94	4.115273221754828
chr15:101617311:101617531:-1	chr11:100094934:100095154:-1	ENSE00003615991	ENSE00003673283	0.04249766014712065	25.0	31.0	11	6	Unfavorable	0.925	4.115273221754828
chr15:101617311:101617531:-1	chr11:100095250:100095375:-1	ENSE00003615991	ENSE00003623532	0.04249766014712065	25.0	31.0	11	6	Unfavorable	0.94	4.115273221754828
chr2:151384738:151384785:1	chr3:141563165:141563357:-1	ENSE00001107838	ENSE00000461088	1.0	28.0	inf	14	3	Unfavorable	0.93	0.0
