mouse_exon1	mouse_exon2	human_exon1	human_exon2	p_value	median_survival_present	median_survival_absent	n_present	n_absent	prognostic_type	avg_identity	logrank_statistic
chr15:92143609:92143708:1	chr6:22973011:22973161:1	ENSE00000736011	ENSE00000919400	0.8801299581981199	27.0	28.0	3	14	Unfavorable	0.87	0.022741988878545876
chr15:92143609:92143708:1	chr6:22972711:22972868:1	ENSE00000736011	ENSE00000919399	0.8801299581981199	27.0	28.0	3	14	Unfavorable	0.88	0.022741988878545876
chr15:92143842:92144023:1	chr6:22973011:22973161:1	ENSE00000736014	ENSE00000919400	0.8801299581981199	27.0	28.0	3	14	Unfavorable	0.88	0.022741988878545876
chr15:92143842:92144023:1	chr6:22972711:22972868:1	ENSE00000736014	ENSE00000919399	0.8801299581981199	27.0	28.0	3	14	Unfavorable	0.89	0.022741988878545876
chr15:92143842:92144023:1	chr6:22965726:22965792:1	ENSE00000736014	ENSE00001288392	0.8801299581981199	27.0	28.0	3	14	Unfavorable	0.86	0.022741988878545876
chr15:92140772:92140978:1	chr6:22973011:22973161:1	ENSE00000736006	ENSE00000919400	0.8801299581981199	27.0	28.0	3	14	Unfavorable	0.89	0.022741988878545876
chr15:101618188:101618313:-1	chr11:100094934:100095154:-1	ENSE00003590565	ENSE00003673283	0.07354830084364436	24.0	28.0	6	11	Unfavorable	0.925	3.2019994714547897
chr15:101618188:101618313:-1	chr11:100095250:100095375:-1	ENSE00003590565	ENSE00003623532	0.07354830084364436	24.0	28.0	6	11	Unfavorable	0.94	3.2019994714547897
chr15:101617311:101617531:-1	chr11:100094934:100095154:-1	ENSE00003615991	ENSE00003673283	0.07354830084364436	24.0	28.0	6	11	Unfavorable	0.925	3.2019994714547897
chr15:101617311:101617531:-1	chr11:100095250:100095375:-1	ENSE00003615991	ENSE00003623532	0.07354830084364436	24.0	28.0	6	11	Unfavorable	0.94	3.2019994714547897
chr2:151384738:151384785:1	chr3:141563165:141563357:-1	ENSE00001107838	ENSE00000461088	0.021554650900248745	28.0	23.0	13	4	Favorable	0.93	5.28138052319197
