human_uniprot	yeast_uniprot
Q6P2Q9	P33334
P27708	P07259
Q14204	P36022
O00763	Q00955
P42345	P32600
Q9NU22	Q12019
Q00610	P22137
Q07864	P21951
Q8N3C0	P53327
P24928	P04050
O75643	P32639
P30876	P08518
Q9NW08	P22276
O14802	P04051
Q9Y4A5	P38811
P11498	P11154
P41252	P09436
P13639	P32324
O14841	P28273
P55072	P25694
O14981	P32333
Q9H0A0	P53914
P23921	P21672
P11388	P06786
P42285	P47047
P33527	P39109
P22314	P22515
O95602	P10964
Q99798	P19414
P11586	P07245
P23378	P49095
O14980	P30822
Q9Y2Q0	P39524
Q92616	P33892
P28340	P15436
P26640	P07806
O43861	P40527
P0DMV9	P10592
P0DMV9	P22202
P0DMV8	P10592
P0DMV8	P22202
P11142	P10592
P11142	P22202
Q92900	P30771
O60264	Q08773
Q14562	P24384
P35573	Q06625
Q9H9Y6	P22138
Q9P2J5	P26637
P49588	P40825
Q9ULV0	P19524
P61221	Q03195
P31040	Q00711
O43143	P53131
O75533	P49955
Q6IA69	P38795
Q02218	P20967
P11021	P16474
Q9H9T3	Q02908
P08238	P15108
P98194	P13586
P38646	P0CS90
Q9HD20	P39986
P18074	P06839
P51531	P32597
P51531	P22082
P51532	P32597
P51532	P22082
P26639	P04801
Q04446	P32775
P19447	Q00578
Q96RP9	P25039
Q14692	Q08965
Q8TCJ2	P39007
P53618	P41810
P36776	P36775
O00160	Q04439
P21281	P16140
O94808	P14742
P06737	P06738
P68104	P02994
P25705	P07251
Q7Z2Z2	P53893
P49736	P29469
Q15436	P15303
Q92620	P15938
Q8N122	P38873
P06576	P00830
Q9Y2L1	Q08162
O14646	P32657
O60673	P14284
P13807	P23337
P53621	P53622
P31939	P38009
Q9Y6D5	P11075
Q8IZH2	P22147
P68371	P02557
P68366	P09733
P0CG48	P0CG63
Q9H7F0	Q12697
Q15477	P35207
P63261	P60010
P60709	P60010
P14735	Q06010
P12883	P08964
Q15269	P25635
P43246	P25847
Q9ULG1	P53115
P22102	P07244
Q99832	P42943
Q13200	P38764
P48643	P40413
P41091	P32481
P17812	P28274
P17987	P12612
Q01433	P15274
O15067	P38972
P78371	P39076
Q14566	P53091
P09884	P13382
P33991	P30665
Q9Y4W6	P40341
Q03468	P40352
P35998	P33299
P52209	P38720
P49368	P39077
P00395	P00401
Q15046	P15180
P33992	P29496
P20839	P50094
P06744	P12709
P23526	P39954
Q9Y265	Q03940
P38606	P17255
P46459	P18759
Q93050	P32563
Q9Y230	Q12464
P54098	P15801
P07954	P08417
Q9UQE7	P47037
Q99460	P32565
P50991	P39078
Q9NVP1	Q03532
