Gene stable ID	UniProtKB/Swiss-Prot ID
YDR204W	O13525
YPL249C-A	O14455
YPL183W-A	O14464
YOR298C-A	O14467
YEL020W-A	O74700
YJR048W	P00044
YDR529C	P00128
Q0105	P00163
YML054C	P00175
YGR192C	P00359
Q0045	P00401
Q0250	P00410
Q0275	P00420
YHR051W	P00427
YJR104C	P00445
YHR008C	P00447
YBR160W	P00546
YAL038W	P00549
YCR012W	P00560
YJR057W	P00572
YBR093C	P00635
YPL111W	P00812
YBR011C	P00817
YJR121W	P00830
Q0085	P00854
YNR001C	P00890
YGR254W	P00924
YDR050C	P00942
YKL152C	P00950
YGR264C	P00958
YOR101W	P01119
YFL038C	P01123
YDR224C	P02293
YNL030W	P02309
YBR009C	P02309
YDR382W	P02400
YGL103W	P02406
YML024W	P02407
YFL037W	P02557
YOR187W	P02992
YPR080W	P02994
YBR118W	P02994
YEL021W	P03962
YGL187C	P04037
YMR300C	P04046
YDL140C	P04050
YOR116C	P04051
YHR018C	P04076
YER165W	P04147
YBR020W	P04385
YGL031C	P04449
YOL127W	P04456
YJL189W	P04650
YOL006C	P04786
YIL078W	P04801
YLL018C	P04802
YDR268W	P04803
YFR053C	P04806
YDL164C	P04819
YNL055C	P04840
YDR225W	P04911
YBL003C	P04912
YOR386W	P05066
YJL088W	P05150
YLR340W	P05317
YDL081C	P05318
YGL040C	P05373
YJR073C	P05375
YDR172W	P05453
YPL078C	P05626
YGL076C	P05737
YGL147C	P05738
YKL180W	P05740
YLR344W	P05743
YLR029C	P05748
YLR061W	P05749
YNL178W	P05750
YBR189W	P05755
YDR064W	P05756
YLR167W	P05759
YDR168W	P06101
YIL038C	P06102
YOR361C	P06103
YGL058W	P06104
YJL080C	P06105
YOR278W	P06174
YAL039C	P06182
YPR113W	P06197
YDL108W	P06242
YDL017W	P06243
YPL203W	P06245
YCR031C	P06367
YOR257W	P06704
YPR160W	P06738
YGR191W	P06775
YPL022W	P06777
YPR165W	P06780
YDR477W	P06782
YDL159W	P06784
YOR074C	P06785
YNL088W	P06786
YBR109C	P06787
YER171W	P06839
YDR392W	P06844
YOR065W	P07143
YDR226W	P07170
YNL121C	P07213
YGL234W	P07244
YGR204W	P07245
YBL099W	P07251
YJL130C	P07259
YOL139C	P07260
YPR033C	P07263
YPL154C	P07267
YML061C	P07271
YGL043W	P07273
YOR122C	P07274
YHR037W	P07275
YGR258C	P07276
YMR208W	P07277
YIL033C	P07278
YOL121C	P07280
YFL045C	P07283
YDR023W	P07284
YBR243C	P07286
YHR013C	P07347
YFL005W	P07560
YPR110C	P07703
YGR094W	P07806
YOR236W	P07807
YOR274W	P07884
YLR438W	P07991
YEL024W	P08067
YPL262W	P08417
YPR047W	P08425
YBR018C	P08431
YKL184W	P08432
YDR523C	P08458
YJL208C	P08466
YOR151C	P08518
YJL167W	P08524
YJR010W	P08536
YHR005C	P08539
YHR023W	P08964
YOR260W	P09032
YPL237W	P09064
YJL194W	P09119
YLR377C	P09201
YBL076C	P09436
YDR298C	P09457
YFL018C	P09624
YML085C	P09733
YKL022C	P09798
YJL026W	P09938
YDR232W	P09950
YKR057W	P0C0V8
YJL190C	P0C0W1
YPR102C	P0C0W9
YLR264W	P0C0X0
YDR471W	P0C2H7
YDL075W	P0C2H8
YLR406C	P0C2H9
YPR192W	P0CD91
YLL039C	P0CG63
YKR094C	P0CH08
YIL148W	P0CH08
YKR094C	P0CH09
YIL148W	P0CH09
YJR045C	P0CS90
YJL221C	P0CW40
YIL172C	P0CW40
YJL221C	P0CW41
YIL172C	P0CW41
YJR094W-A	P0CX25
YPR043W	P0CX25
YJR094W-A	P0CX26
YPR043W	P0CX26
YNL162W	P0CX27
YHR141C	P0CX27
YNL162W	P0CX28
YHR141C	P0CX28
YGR118W	P0CX29
YPR132W	P0CX29
YGR118W	P0CX30
YPR132W	P0CX30
YER074W	P0CX31
YIL069C	P0CX31
YER074W	P0CX32
YIL069C	P0CX32
YJR145C	P0CX35
YHR203C	P0CX35
YJR145C	P0CX36
YHR203C	P0CX36
YPL090C	P0CX37
YBR181C	P0CX37
YPL090C	P0CX38
YBR181C	P0CX38
YBL072C	P0CX39
YER102W	P0CX39
YBL072C	P0CX40
YER102W	P0CX40
YBL087C	P0CX41
YER117W	P0CX41
YBL087C	P0CX42
YER117W	P0CX42
YPL220W	P0CX43
YGL135W	P0CX43
YPL220W	P0CX44
YGL135W	P0CX44
YFR031C-A	P0CX45
YIL018W	P0CX45
YFR031C-A	P0CX46
YIL018W	P0CX46
YDR025W	P0CX47
YBR048W	P0CX47
YDR025W	P0CX48
YBR048W	P0CX48
YOL120C	P0CX49
YNL301C	P0CX49
YOL120C	P0CX50
YNL301C	P0CX50
YDL083C	P0CX51
YMR143W	P0CX51
YDL083C	P0CX52
YMR143W	P0CX52
YEL054C	P0CX53
YDR418W	P0CX53
YEL054C	P0CX54
YDR418W	P0CX54
YML026C	P0CX55
YDR450W	P0CX55
YML026C	P0CX56
YDR450W	P0CX56
YBL027W	P0CX82
YBR084C-A	P0CX82
YBL027W	P0CX83
YBR084C-A	P0CX83
YDL191W	P0CX84
YDL136W	P0CX84
YDL191W	P0CX85
YDL136W	P0CX85
YKR059W	P10081
YJL138C	P10081
YGL256W	P10127
YIR008C	P10363
YLR163C	P10507
YLL024C	P10592
YHR007C	P10614
YLR180W	P10659
YPR166C	P10663
YBR031W	P10664
YER020W	P10823
YCR066W	P10862
YAL025C	P10962
YOR341W	P10964
YDR170C	P11075
YGL062W	P11154
YLR382C	P11325
YDR044W	P11353
YNL241C	P11412
YDR481C	P11491
YML098W	P11747
YHR024C	P11914
YJL153C	P11986
YBR143C	P12385
YDR212W	P12612
YML075C	P12683
YKL126W	P12688
YOR346W	P12689
YNL071W	P12695
YBR196C	P12709
YNL250W	P12753
YGR083C	P12754
YKL209C	P12866
YMR231W	P12868
YML021C	P12887
YGL115W	P12904
YDL040C	P12945
YLR234W	P13099
YNL238W	P13134
YOR168W	P13188
YNL102W	P13382
YER148W	P13393
YBL021C	P13434
YIL034C	P13517
YGL167C	P13586
YGL205W	P13711
YGR152C	P13856
YPR183W	P14020
YOR120W	P14065
YGL030W	P14120
YOR063W	P14126
YDR447C	P14127
YNL082W	P14242
YPL167C	P14284
YJL141C	P14680
YDR054C	P14682
YKR026C	P14741
YKL104C	P14742
YLR195C	P14743
YML057W	P14747
YDR155C	P14832
YOR254C	P14906
YLR354C	P15019
YMR186W	P15108
YPL104W	P15179
YDR037W	P15180
YDR256C	P15202
YML035C	P15274
YPR181C	P15303
YIR022W	P15367
YDL102W	P15436
YDR283C	P15442
YDR454C	P15454
YPL117C	P15496
YDR120C	P15565
YLR060W	P15624
YFL022C	P15625
YDL014W	P15646
YKL024C	P15700
YOR027W	P15705
YBR082C	P15731
YDR059C	P15732
