human_uniprot	arabidopsis_uniprot
Q6P2Q9	Q9SSD2
O75643	Q9SYP1
Q00610	Q0WLB5
Q8N3C0	Q9FNQ1
Q9NU22	A0A1P8AUY4
P42345	Q9FR53
Q07864	F4HW04
P24928	P18616
P30876	P38420
O75533	Q9FMF9
Q13085	Q38970
O14841	Q9FIZ7
Q15393	P0DKL6
Q15393	P0DKL4
Q9Y4A5	F4IPJ1
Q14562	Q38953
O60306	Q8L5Y4
P55072	Q9SCN8
Q5T4S7	Q9SRU2
Q9NW08	F4KD38
O15067	Q9M8D3
O14981	B5BT18
Q92900	Q9FJR0
Q15029	Q9LNC5
Q92616	F4I893
P47989	Q8GUQ8
O14802	F4JXF9
P41252	F4JLM5
Q16531	Q9M0V3
P28340	Q9LVN7
Q02880	P30182
P23921	Q9SJ20
P21399	Q9SIB9
P23378	O80988
Q92620	F4K2E9
A5YKK6	F4HVV6
P13639	Q9ASR1
P42285	Q9XIF2
O14980	F4IZR5
O60231	Q8VY00
P53621	Q94A40
Q93084	Q9SY55
Q9H0A0	Q9XIK4
O60264	F4JY24
Q9P2J5	F4I116
Q10567	O81742
P08183	Q9FWX7
P08183	O80725
P21439	Q9FWX7
P21439	O80725
P0DMV8	Q9LHA8
P0DMV9	Q9LHA8
O43143	Q9LZQ9
O75165	F4IVL6
P07900	P55737
Q8N122	Q93YQ1
P26640	P93736
P61221	Q8LPJ4
Q86VP6	Q8L5Y6
Q6ZRS2	Q7X9V2
Q02218	Q9FLH2
Q02218	F4IWV2
Q9ULD0	Q9FLH2
Q9ULD0	F4IWV2
Q92887	Q9C8G9
Q9HD20	Q9LT02
O95985	F4ISQ7
P22314	P92974
P11021	Q39043
O60673	Q766Z3
P53618	Q9SV21
Q9Y6D5	Q9LPC5
P48147	F4I2A0
Q9NYU2	Q0WL80
P46977	Q9FX21
Q9UBF2	Q0WW26
P35606	Q9CAA0
Q99460	O48844
Q9UIA9	F4K2C1
Q14703	Q0WUG6
P38606	O23654
Q13620	Q8LGH4
P0CG48	Q8H159
P31040	O82663
P18074	Q8W4M7
Q9HCS7	Q9LKU3
O95602	Q9SVY0
Q9Y2L1	Q9SHL7
P11586	Q9SPK5
P49588	P36428
Q9H9Y6	F4I366
Q14692	A0A1P8AVE9
Q9H9T3	Q93ZR1
P29144	F4JVN6
Q13200	Q9SIV2
Q14697	Q9FN05
Q9NTI2	Q9XIE6
Q9BQE3	Q0WV25
Q9BQE3	B9DGT7
Q04446	O23647
P36776	P93655
O75417	Q588V7
Q9UQE7	Q56YN8
O95347	Q9SN90
Q15477	F4JAA5
Q9BVA1	P29514
Q9NR19	B9DGD6
Q5T3U5	Q9SKX0
A3KN83	F4IF36
P49736	Q9LPD9
Q8TF62	Q9LNQ4
O14647	F4IV99
P38646	Q8GUM2
Q13535	Q9FKS4
Q96RP9	Q9C641
Q99758	Q84M24
Q8TDI0	Q9S775
P09884	Q9FHA3
P26639	O04630
P19447	Q9FUG4
P31327	Q42601
P49641	Q9LFR0
P45974	Q8L6Y1
O15118	F4I9G5
P48643	O04450
Q13618	Q9ZVH4
P21281	P11574
P28331	Q9FGI6
P06576	P83483
P06576	P83484
P00395	P60620
Q9ULG1	Q8RXS6
O14787	Q8H0U4
Q9UG63	Q9FJH6
Q9UKF6	Q9C952
Q14008	Q94FN2
O43314	Q84WW3
Q7Z6Z7	Q8GY23
Q7Z6Z7	Q8H0T4
Q15436	F4J462
Q9H0D6	Q9FQ03
Q13472	Q9LVP1
Q99832	Q9SF16
Q9NSE4	Q8RXK8
Q6IA69	Q9C723
Q8N442	Q9FLE4
P11216	Q9LIB2
P11216	Q9SD76
P11217	Q9LIB2
P11217	Q9SD76
Q7Z2Z2	F4J2T9
P17987	P28769
Q8IZQ1	F4HZB2
Q6JQN1	Q8RWZ3
O00410	Q93VS8
P55060	Q9ZPY7
P50851	F4I9T0
P35998	Q9SSB5
Q16720	Q9M2L4
Q16720	Q9LF79
P20020	Q9M2L4
P20020	Q9LF79
Q5VYK3	F4IVJ8
P78371	Q940P8
P68104	Q8GTY0
P68104	Q0WL56
P68104	Q8W4H7
P68104	P0DH99
O43747	Q9ZUI6
Q9NTJ3	Q9FJL0
Q14690	F4J8K6
P23258	P38558
P55786	Q8VZH2
P14625	Q9STX5
P63261	P53496
P60709	P53496
Q7L014	Q8H0U8
Q9UJV9	Q9LU46
Q9Y230	Q9FJW0
Q86WA8	O64948
Q9H2U1	F4ILR7
P49821	Q9FNN5
Q9H5Z1	F4JRJ6
O00754	Q8LPJ3
Q04656	Q9SH30
P43246	O24617
P14735	O22941
Q13315	Q9M3G7
Q9H9G7	O04379
Q9Y4I1	F4HXP9
Q9Y4I1	Q0WPU1
Q9ULV0	F4HXP9
Q9ULV0	Q0WPU1
P51531	F4J9M5
P62191	Q9SL67
Q9NZJ4	Q9FN44
Q9Y265	Q9FMR9
Q92544	Q9LIC2
P17812	Q9LTW8
P25705	A0A2P2CLF9
O94808	Q9LIP9
P50991	Q9LV21
P07954	P93033
Q9HCC0	Q9LDD8
P25205	Q9FL33
Q99459	P92948
P53396	Q9C522
Q9H9S3	Q9ZV90
P41091	O64490
O75027	Q9LVM1
Q14566	F4KAB8
O60841	F4I420
P41250	O23627
A0A0B4J2E5	Q8VYZ5
Q8NI27	F4IAT2
Q9BTW9	Q8L5R3
Q9Y4W6	Q84WU8
P56192	Q9SVN5
P49368	Q84WV1
P40227	Q9M888
P09874	Q9ZP54
P52701	O04716
P33993	P43299
P17980	Q9SEI2
Q9H270	Q9SJ40
Q01433	O80452
P62195	Q9C5U3
P33991	Q0WVF5
P18858	Q42572
Q15046	Q9ZPI1
Q96BP3	Q8W4D0
Q10570	Q9FGR0
Q8NEB9	P42339
P43686	Q9SEI4
P62495	P35614
P33992	O80786
Q9HBG4	Q9SJT7
Q9HBG4	Q8W4S4
Q93050	Q9SJT7
Q93050	Q8W4S4
O95782	Q8LPL6
P10809	P29197
Q9UJA3	Q9SF37
P49419	Q9SYG7
Q7Z478	F4I9Q5
Q9NPH2	Q9LX12
Q96QK1	Q7X659
O75306	A0A2P2CLH2
Q9HCG7	Q8VZ08
P36871	Q9SGC1
Q02252	Q0WM29
P38919	Q94A52
P48449	P38605
Q9BZE4	Q9C6I8
Q9BXJ9	Q8VZM1
Q03468	Q9ZV43
Q9Y5B9	O82491
Q13838	Q9LFN6
Q13838	Q56XG6
O95427	A0A1I9LQ21
Q13228	Q9LK38
P54886	P54888
Q16134	O22854
P05091	Q9SU63
Q14683	Q6Q1P4
Q9HCG8	Q9SAG7
Q93009	Q84WU2
Q9BUQ8	P93008
Q9NV66	Q8RXN5
Q14669	Q6WWW4
P06733	P25696
O95573	Q9SJD4
O95573	Q9CAP8
O60488	Q9SJD4
O60488	Q9CAP8
P26196	Q9M2E0
Q92538	Q42510
P62333	Q9SEI3
Q8TB22	F4JI63
P20585	O65607
Q9HAU5	F4IUX6
P47897	Q8W4F3
P34932	Q9S7C0
Q9HD45	Q940G0
Q8IY37	Q9C813
Q9NSD9	Q9SGE9
O60832	Q9LD90
Q96RQ3	Q42523
P46459	Q9M0Y8
P48735	Q9SLK0
P46100	F4HW51
Q149N8	F4II36
Q8NI36	Q93YS7
O75390	P20115
Q13547	O22446
Q92769	O22446
P34897	Q9SZJ5
Q14974	F4IYK3
O60524	Q9LTX7
O95352	Q94CD5
P23368	Q9CA83
P23368	Q9XGZ0
P23368	Q9LYG3
P48163	Q9CA83
P48163	Q9XGZ0
P48163	Q9LYG3
Q16798	Q9CA83
Q16798	Q9XGZ0
Q16798	Q9LYG3
O60701	Q9FZE1
O60701	Q9LIA8
Q9H1A4	Q9FFF9
Q92841	Q9C718
O60508	A4FVN8
Q9H6S0	F4INY4
P54802	Q9FNA3
Q9Y666	Q2UVJ5
P61011	P49967
Q99570	Q9M0E5
P42356	Q9SXA1
Q9NXL9	F4IFF3
P51649	Q9SAK4
Q9NVE7	Q8L5Y9
P34896	Q94JQ3
Q14240	P41377
P10253	Q9LYF8
Q9Y697	O49543
Q9Y4E8	Q93Y01
P26358	P34881
P50579	Q56Y85
Q92889	Q9LKI5
Q9NVP1	Q9LIH9
O14744	Q8GWT4
Q14527	Q9FF61
O00429	Q8LFT2
P61201	Q8W207
Q8TDD1	O49289
P49754	P93043
P39023	P22738
Q9Y295	Q9SVA6
O95486	Q9SFU0
Q8N2H3	F4K658
Q9BXS5	O22715
P09622	Q9M5K3
P50990	Q94K05
Q6ZS30	F4IG73
P12955	Q0WUQ7
Q9NZ71	F4HQE2
Q9NR71	F4HQM3
Q5TA45	Q8GUU3
P60510	P48528
Q14137	F4IH25
P67775	O04951
P67775	P48578
P62714	O04951
P62714	P48578
P50395	Q9LXC0
Q92878	Q9SL02
Q7KZ85	A8MS85
Q13724	F4HTM3
Q9NQW7	Q8RY11
P68400	O64816
O15321	Q9FHT4
A2PYH4	Q5D892
Q9Y285	Q9T034
Q15067	Q9ZQP2
P40692	Q9ZRV4
Q8NE71	Q9M1H3
P53992	Q9M291
Q86XP3	O22907
Q8N465	O23240
O00571	Q9M2F9
O00571	Q8LA13
O00571	Q84W89
O15523	Q9M2F9
O15523	Q8LA13
O15523	Q84W89
O95239	Q8GS71
P11766	Q96533
Q8TCS8	Q9S7G6
P38935	O81047
P54136	O23247
P61160	Q9LSD6
Q92698	Q0PCS3
P43304	Q9SS48
Q9BZJ0	F4JZX8
Q9H0S4	Q8GY84
Q96C11	F4JQ90
P11940	Q9FXA2
Q09028	O22467
Q6PD62	B5X0I6
P62140	P48484
P62140	P48486
P62136	P48484
P62136	P48486
Q9Y2X3	Q9MAB3
Q9P2I0	Q9LKF9
