human_uniprot	rat_uniprot
Q5VST9	A0A0G2K8N1
Q03001	D3ZC56
Q8WXG9	A0A096MK89
Q96RW7	F1M4Q3
Q5T4S7	Q2TL32
Q2LD37	A0A096MJT6
Q92736	B0LPN4
O95714	A0A0G2JUC9
Q15751	A0A0G2JTT6
Q15413	F1M7A1
Q14204	P38650
P21817	F1LMY4
Q6V0I7	D3ZEH1
Q9NZJ4	D4A1D3
O75592	D4A2D3
Q8TDW7	Q8R508
P20929	A0A096MK15
A2VEC9	Q700K0
Q9UFH2	D4A599
Q5THJ4	D3ZKC6
Q9P225	A0A0G2JYL5
Q96JB1	F1MAM6
Q8NCM8	Q9JJ79
Q14517	A0A0G2K5L1
Q4G0P3	A0A0G2JXD6
Q9NYC9	F1LV07
Q9Y4D8	F1LZX5
Q96DT5	E9PU24
O75445	Q8K3K1
Q9NR09	A0A0G2JZ53
Q9P2D7	Q63164
Q9C0G6	F1LXT8
Q5CZC0	A0A096MJX4
Q8WXX0	Q63170
Q86WI1	D4A9R2
Q9NYQ8	O88277
P78509	P58751
Q9Y6V0	Q9JKS6
Q07954	G3V928
Q8IZQ1	A0A0G2K9M4
P98161	F1MAD3
Q63HN8	F1M0R1
Q7Z408	A0A0G2K6F2
Q9NU22	A0A0G2K9L9
P11532	P11530
Q9UPN3	D3ZHV2
P78527	D3ZTN0
Q03164	F1M0L3
Q5T011	D3ZUQ8
Q9H251	P58365
Q96M86	A0A096MJU2
Q709C8	D4A4K4
Q86XX4	F1M3H3
Q96PZ7	E9PT92
Q9UPA5	O88778
Q15911	F1M4Q6
Q8TE73	M0R8U1
Q96JQ0	D4ACX8
Q86UP3	D4A3U5
P46939	G3V7L1
Q9NYQ7	O88278
Q4LDE5	P0C6B8
O60229	P97924
P04114	Q7TMA5
O75962	F1M0Z1
Q70CQ2	A0A0G2JTF5
Q5SZK8	D3ZG74
Q8TDJ6	F1M3W5
Q5TBA9	E9PTY6
O94915	D3ZQY4
Q15772	Q63638
Q7Z7M0	Q9QYP0
P21359	P97526
Q9Y485	D4AA13
Q6ZR08	Q923J6
Q14315	D3ZHA0
P98164	P98158
P42858	P51111
Q9UKN7	A0A0G2K1F7
Q14643	P29994
P49792	M0R3M4
O43149	D3ZG78
Q9P2D1	D3ZAP7
Q86UQ4	D4A885
O60494	O70244
O95071	Q62671
O15230	F1MAN8
Q6N022	F1LZ38
O60673	F1M8G6
P21333	C0JPT7
Q14571	P29995
Q15149	P30427
Q13315	D4ACL8
Q6ZS81	D4A748
Q9ULT8	D3ZLS5
Q9NT68	Q9R1K2
O75369	A0A0G2JXT8
Q14573	Q63269
Q93008	A0A0G2K2C7
P24043	F1M614
Q9UPU5	F1LSM0
Q9NR48	D3ZKH4
P42345	P42346
Q96T58	F1M455
Q92616	F1LRI5
P25054	P70478
Q6P2Q9	G3V6H2
P50851	A0A0G2JYI0
Q13535	D3Z822
Q96L91	A0A0G2JU09
Q13813	P16086
Q6ZNJ1	D4A1L2
O15050	D3ZSG2
Q6KC79	A0A0G2K0J4
Q9HCK8	Q9JIX5
Q9P2P6	D3Z9J4
O75691	F1LXT3
Q99698	A0A0G2K5V4
Q9P273	F1LV44
Q9Y4G6	D3ZA84
Q8TD26	D3ZA12
Q6ZRI0	D3ZCV6
Q6ZS30	F1M6V0
A5YKK6	G3V7M0
Q13085	P11497
Q9NYQ6	F1MAS4
Q9Y490	G3V852
Q8IWI9	D3ZP58
Q9H5I5	F1M208
Q9H254	A0A0G2K677
Q9P2D8	D3ZSV8
Q9BZC7	Q9ESR9
Q3L8U1	A0A0G2JXQ2
Q01082	A0A0G2K8W9
Q5JWR5	D4A0Y2
P25391	D4A409
Q9UMN6	A0A0G2K1E3
O75443	D4A7Z6
Q5VT06	F1LPD3
O75165	D3ZN27
Q92793	Q6JHU9
O95477	F1LNL3
Q96RV3	E9PSU6
P02751	P04937
Q5S007	F1LNJ1
O15020	Q9QWN8
Q9HCE0	A0A0G2JZ84
Q96JM2	D3ZFG7
Q8IVL1	F1LR12
Q8IWT3	D3ZZP8
O75643	F1LNJ2
O00763	E9PSQ0
Q15652	F1LMK8
Q07864	D3Z8X4
P27708	D4A8A0
B2RTY4	Q9Z1N3
Q58EX2	A0A0G2K999
Q01484	A0A0G2KBB9
Q9C0A1	D3ZF41
O15417	D3ZKV7
P01266	P06882
Q96N67	A0A0G2K3H2
P11717	G3V824
Q86UK0	D4A7J3
P49327	P12785
O60281	D3ZXZ1
Q14667	F1LSX1
Q68DK2	D4A8G9
A2RRP1	F1M0U5
Q92508	Q0KL00
Q09666	A0A0G2JUA5
P42356	O08662
Q8N3C0	F1LPQ2
P78363	D4AB29
Q9UMZ3	O88488
Q5JSL3	A0A0G2JV16
Q99996	A0A0G2K548
Q8TD84	D3ZPL7
P98160	F1LTJ5
Q6ZRS2	M0R750
Q71F56	A0A0G2JXH7
Q01668	P27732
Q9BYW2	A0A0G2KB10
Q13402	Q8CJE3
Q00975	Q02294
Q9HCU4	Q9QYP2
P31629	Q00900
Q3ZCN5	F1LY16
Q8IZD9	F1M4N6
Q9NZM1	A0A0G2K695
Q9Y2I7	D3ZYT8
O60469	Q8VHZ8
Q05BV3	Q6ED65
Q15878	Q07652
Q96L73	D4AA06
O43497	O54898
O75923	A0A0G2K7B6
Q9Y3R5	A0A0G2JXD9
Q93074	A0A096MKF8
Q6GYQ0	O55007
Q8NB66	Q62770
P02549	D4A678
Q6UVK1	Q00657
Q8NF50	F1LPG2
Q6ZMW3	D3ZQR6
Q9H6A9	D3ZSQ1
Q9Y618	D3ZXN9
Q96RL7	D4A899
Q8IVL0	A0A0G2JZB7
P11277	A0A140UHX6
Q9UHV7	F1LXU0
Q8IVV2	D4A3A1
Q9P212	Q99P84
Q9Y6J0	O88480
P08922	Q63132
O15078	A0A0G2K929
P23468	M0RB22
Q12923	G3V9S3
Q13936	P22002
Q9HCM2	D3ZES7
Q14669	F1LP64
Q92621	D4A7R3
Q8N1I0	F1LZ81
Q96HP0	A0A0G2KAH4
Q5JSZ5	D3ZZ51
Q9HC10	Q9ERC5
Q12830	A0A0G2K7N8
Q9P0X4	Q9Z0Y8
P35498	P04774
Q9UQD0	O88420
O00555	P54282
O75051	D3ZWP6
O15021	M0R3L1
P15924	F1LMV6
P78559	P34926
O43157	D3ZDX5
Q96JI7	A0A0G2JZP7
Q99250	P04775
O95180	Q9EQ60
Q9P281	D3ZX10
Q9H1A4	F1M801
Q9UIW2	D3Z981
P23471	Q62656
Q99973	O08653
Q9P2D3	F1LST0
P10586	Q64604
Q14524	P15389
Q7Z333	D4AEB3
Q6ZT12	D4A7F0
Q13332	Q64605
Q9H583	D3ZL86
A7KAX9	F1MAK3
P51805	D3ZPX4
A6NHR9	D4AAG8
Q8N3K9	M0R557
Q9UPY3	E9PU15
Q9HD67	D3ZJP6
Q5T1R4	D3ZRB5
Q92673	P0DSP1
Q38SD2	D3ZRJ7
Q9Y6D6	D4A631
P12270	F1MA98
O95248	M0RAP5
Q9NY46	P08104
Q9P2N4	D3ZMB0
Q96QT4	Q925B3
Q15858	O08562
Q96BY7	F1MAF8
Q14997	A0A0G2KAX0
O14981	F1LW16
P42694	D4ADZ6
O15018	Q9QZR8
O60840	G3V9W8
P46821	P15205
Q8TDI0	D3ZD32
Q5TH69	D3ZF86
Q2KJY2	D4ADC4
Q13023	Q9WVC7
Q8NEY1	D4A5I4
Q14185	D3ZZW1
Q86XA9	F1LSK5
Q9H799	D3ZK35
P48634	Q6MG48
Q7Z401	D4A518
O75417	D4A628
Q12802	F1M3G7
Q92538	F1M8X9
Q9HC84	D3ZAU0
O60333	O88658
Q8IZF0	Q6Q760
Q9H7D0	F1LVA9
P23467	A0A0G2K2W0
O75970	O55164
Q5H8C1	D3ZC92
Q4ZG55	F1LW89
P51587	O35923
Q5VYK3	F1M446
Q2PPJ7	P86411
Q68DE3	D4ABR5
Q7Z442	M0R5G5
Q9Y6D5	Q7TSU1
Q96PE2	A0A0G2JXT9
Q13129	D3ZJX1
A7E2V4	A0A0G2K9R0
O14497	D4A3E3
Q12873	F1LPP8
Q9UG01	Q9JKU3
Q8IWZ3	A0A0G2K916
O95425	F1M155
Q9P2S2	Q63374
Q86WG5	B5DEJ9
O60287	D4A7S4
O95996	A0A0G2JZW4
Q8IUG5	M0R6Z9
Q4AC94	D3ZS69
Q6PIF6	F1M885
O43166	O35412
P51610	D3ZN95
Q9NSI6	D4AAI9
Q14839	E9PU01
Q00610	P11442
Q9UGU0	D3ZG21
Q8NDV7	A0A0G2JZJ3
Q562E7	D4A929
O15031	D3ZQ57
Q69YN4	D3ZKC9
Q8IZY2	Q7TNJ2
Q12756	F1M4A4
Q92614	D3ZFD0
A6NKB5	D4AB99
P29375	A0A0G2JTU9
P50748	D3ZVJ3
Q2WGJ9	F1LXL6
Q9UPZ6	F1MA97
Q7Z2Y8	A0A0G2JTA4
O60292	F1LYG2
P49815	P49816
Q2TAZ0	D3ZT64
Q13698	Q02485
Q9HCD6	F1LTE0
Q9ULL4	D3ZLH5
Q9C0F0	F1M090
Q5VZ89	A0A0G2K089
P35499	P15390
Q8IWV8	D4A9U6
Q6UB99	D3ZSU6
Q5VU43	Q9WUJ3
Q14674	D3ZDT7
Q9HCF6	F1LN45
Q86U86	D3ZT52
Q9UPW8	Q62768
Q9Y4D7	D4AA77
Q14008	F1M949
Q15154	A0A0G2K0X1
Q9BYK8	D4ADC2
Q6R327	F1M4J0
O75147	D3ZZ80
Q9Y5Y9	Q62968
Q9NY15	D3ZWH1
Q7Z3U7	D3ZCG3
Q12789	Q63505
P35555	G3V9M6
Q07157	A0A0G2K2P5
Q9P2F8	Q5JCS6
Q9Y6N7	O55005
O14578	E9PSL7
P55196	O35889
Q7KZ85	F1LR36
Q16363	F1LTF8
A4UGR9	Q71LX6
Q8TEM1	P11654
Q9Y4I1	Q9QYF3
O75179	A0A0G2JVW3
O00468	P25304
Q9Y566	Q9WV48
A8TX70	A0A0G2JTX7
Q13459	Q63358
A0AVI2	D3ZU90
P24928	D4A5A6
Q92545	F1M5G8
A6NMZ7	D3ZL10
Q5T5U3	F1LXQ7
Q9ULL5	A0A0G2K5M6
P07942	D3ZQN7
Q8TDX9	F1M1X0
P09848	Q02401
Q5VT25	O54874
Q7Z5J4	A0A0G2K4G0
Q3T8J9	Q535K8
Q6W2J9	D4A2J9
Q02817	M0R6C7
Q8WWQ0	F1M3B3
Q7LBC6	M0RDF1
O60241	D3ZN99
Q9UPQ9	F1LV37
O60242	D4A831
Q7RTU9	D3ZUE8
Q6WRI0	Q6WRH9
O94822	F1M9Q3
Q5VU65	D3Z8Z6
Q9BX84	F1M7G0
O00750	D3ZVF3
Q7RTP6	D3ZGN7
Q8NFA0	A0A0G2K952
Q70Z35	A0A0G2KA11
O75140	A0A0G2K6M8
O00443	D3ZTF6
Q9P2E3	Q7TP99
Q68CP9	D3ZJU0
Q14789	A0A0G2JWG6
O14647	A0A0G2KA92
Q12888	F1M842
Q9ULI1	A0A0G2JZT1
P52948	P49793
Q9C0I4	F1LPD7
Q6YHU6	D3ZVT2
Q9ULV0	P70569
Q9HCJ0	D3ZRA6
Q86V15	F1M0M0
Q9P265	A0A0G2JY22
Q96Q42	P0C5Y8
O43151	D3ZQT7
Q6RI45	D3Z8C5
Q5VW36	F1LU27
Q8NFC6	M0RC54
Q99758	A0A0G2K1Q8
Q9H4A3	Q9JIH7
Q9Y2E4	D3ZZB0
Q9H1H9	D3ZM20
O14795	Q62769
P82987	D4ADD4
Q9UIF8	A0A0G2K175
O60318	A0A0G2JV99
